total_award_score_rolling_3,weighted_score_rolling_3,post_weighted_score_rolling_3
0.0,6042.15,700.7
0.0,9021.6,864.8000000000001
0.0,9151.05,1050.95
0.0,5973.85,819.45
0.0,8967.45,819.45
0.0,6129.05,252.25
0.0,9262.150000000001,252.25
0.0,9554.550000000001,380.8
0.0,6122.750000000001,0.0
0.0,9155.350000000002,0.0
13.0,9478.45,802.25
37.0,6262.7,771.3
54.0,9243.2,1084.2
34.0,9146.6,778.0
0.0,6133.85,0.0
5.0,9165.05,277.45000000000005
5.0,9387.650000000001,277.45000000000005
25.0,6599.85,1138.7
40.0,9919.25,1767.1000000000001
47.0,10081.150000000001,2257.35
7.0,5788.35,255.5
5.0,5799.0,0.0
5.0,8291.45,0.0
0.0,8071.45,229.80000000000004
5.0,6047.1,1177.35
5.0,9033.7,1951.4499999999998
0.0,9218.300000000001,1300.6
0.0,6071.450000000001,200.15
0.0,9012.300000000001,200.15
0.0,9042.800000000001,0.0
5.0,6100.950000000001,0.0
0.0,6437.0,703.3499999999999
0.0,9533.0,703.3499999999999
0.0,9593.85,1060.25
0.0,6307.2,190.0
0.0,9542.85,696.4
0.0,9534.2,696.4
0.0,5707.150000000001,0.0
0.0,8826.35,180.70000000000002
10.0,9374.45,180.70000000000002
0.0,5937.300000000001,172.35
5.0,8981.0,657.5500000000001
5.0,9246.05,485.20000000000005
