franchID,year,total_award_score,weighted_score,post_weighted_score,playoff_next_year,playoff,coachID
ATL,9,0.0,3172.6,0.0,0.0,0,meadoma99w
ATL,10,5.0,3643.5,210.0,1.0,1,meadoma99w
CHA,1,0.0,3060.2,0.0,0.0,0,dunntr01wc
CHA,2,0.0,2981.9500000000003,700.7,1.0,1,donovan99w
CHA,3,0.0,2979.45,164.10000000000002,1.0,1,donovan99w
CHA,4,0.0,3189.65,186.15,1.0,1,laceytr99w
CHA,5,0.0,3080.9500000000003,0.0,0.0,0,laceytr99w
CHA,6,0.0,3094.1,0.0,0.0,0,boguemu01w
CHA,7,0.0,3409.2000000000003,0.0,0.0,0,boguemu01w
CHI,7,0.0,3278.8500000000004,0.0,0.0,0,cowenda01w
CHI,8,5.0,3481.4,0.0,0.0,0,overtbo99w
CHI,9,0.0,3396.4500000000003,0.0,0.0,0,keyst99wc
CHI,10,0.0,3348.6,0.0,0.0,0,keyst99wc
CLE,1,0.0,3049.1500000000005,547.75,1.0,1,hugheda99w
CLE,2,0.0,2924.7000000000003,271.7,1.0,1,hugheda99w
CLE,3,0.0,2993.6000000000004,0.0,0.0,0,hugheda99w
CLE,4,0.0,3202.0000000000005,292.05,1.0,1,hugheda99w
CON,1,0.0,3066.4,252.25,1.0,1,peckca99wc
CON,2,0.0,3062.65,0.0,0.0,0,peckca99wc
CON,3,0.0,3133.1000000000004,0.0,0.0,0,brownde01w
CON,4,0.0,3358.8,380.8,1.0,1,thibami99w
CON,5,5.0,3299.05,755.85,1.0,1,thibami99w
CON,6,0.0,3368.6500000000005,794.3499999999999,1.0,1,thibami99w
CON,7,7.0,3563.5000000000005,490.40000000000003,1.0,1,thibami99w
CON,8,0.0,3571.8,339.45000000000005,1.0,1,thibami99w
CON,9,0.0,3433.6000000000004,276.3,1.0,1,thibami99w
CON,10,0.0,3599.55,0.0,0.0,0,thibami99w
DET,1,0.0,3121.0000000000005,0.0,0.0,0,liebena01w
DET,2,0.0,3001.7500000000005,0.0,0.0,0,willigr99w
DET,3,0.0,3032.6000000000004,0.0,0.0,0,laimbbi01w
DET,4,13.0,3444.1000000000004,802.25,1.0,1,laimbbi01w
DET,5,0.0,3315.5000000000005,286.85,1.0,1,laimbbi01w
DET,6,0.0,3243.3500000000004,188.05000000000004,1.0,1,laimbbi01w
DET,7,14.0,3454.9,1002.95,1.0,1,laimbbi01w
DET,8,13.0,3308.8500000000004,1079.05,1.0,1,laimbbi01w
DET,9,8.0,3573.85,900.6000000000001,1.0,1,laimbbi01w
DET,10,0.0,3534.1000000000004,518.6,1.0,1,laimbbi01w
HOU,1,32.0,3267.75,591.35,1.0,1,chancva99w
HOU,2,5.0,2994.95,179.95,1.0,1,chancva99w
HOU,3,17.0,2980.5,312.9,1.0,1,chancva99w
HOU,4,12.0,3171.15,285.15000000000003,1.0,1,chancva99w
HOU,5,0.0,3135.9000000000005,0.0,0.0,0,chancva99w
HOU,6,17.0,3192.8,471.50000000000006,1.0,1,chancva99w
HOU,7,18.0,3254.95,187.55,1.0,1,chancva99w
HOU,8,0.0,3317.75,0.0,0.0,0,thompka99w
HOU,9,0.0,3300.5000000000005,0.0,0.0,0,thompka99w
IND,1,0.0,3090.5,0.0,0.0,0,donovan99w
IND,2,0.0,3043.35,0.0,0.0,0,fortnne99w
IND,3,5.0,3031.2000000000003,277.45000000000005,1.0,1,fortnne99w
IND,4,0.0,3313.1000000000004,0.0,0.0,0,fortnne99w
IND,5,5.0,3232.8,0.0,0.0,0,wintebr01w
IND,6,7.0,3199.1,385.95000000000005,1.0,1,wintebr01w
IND,7,13.0,3369.2500000000005,192.64999999999998,1.0,1,wintebr01w
IND,8,0.0,3397.3500000000004,651.95,1.0,1,wintebr01w
IND,9,5.0,3456.0,309.25000000000006,1.0,1,dunnli99wc
IND,10,7.0,3549.5,1090.25,1.0,1,dunnli99wc
LAS,1,0.0,3300.8,414.40000000000003,1.0,1,coopemi01w
LAS,2,25.0,3299.05,724.3000000000001,1.0,1,coopemi01w
LAS,3,15.0,3319.4,628.4,1.0,1,coopemi01w
LAS,4,7.0,3462.7000000000003,904.65,1.0,1,coopemi01w
LAS,5,51.0,3446.2,268.55,1.0,1,coopemi01w
LAS,6,0.0,3254.9000000000005,187.04999999999998,1.0,1,bibbyhe01w
LAS,7,20.0,3466.4500000000003,486.3500000000001,1.0,1,bryanjo01w
LAS,8,0.0,3414.0,0.0,0.0,0,coopemi01w
LAS,9,22.0,3564.05,592.3500000000001,1.0,1,coopemi01w
LAS,10,0.0,3454.9000000000005,634.6,1.0,1,coopemi01w
MIA,1,0.0,2843.65,0.0,0.0,0,rothsro99w
MIA,2,7.0,2944.7000000000003,255.5,1.0,1,rothsro99w
MIA,3,0.0,2965.75,0.0,0.0,0,rothsro99w
MIN,1,5.0,3055.85,0.0,0.0,0,aglerbr99w
MIN,2,0.0,2743.15,0.0,0.0,0,aglerbr99w
MIN,3,0.0,2492.45,0.0,0.0,0,aglerbr99w
MIN,4,0.0,2835.8500000000004,229.80000000000004,1.0,1,mcconsu01w
MIN,5,0.0,2772.25,135.0,1.0,1,mcconsu01w
MIN,6,0.0,2876.3000000000006,0.0,0.0,0,mcconsu01w
MIN,7,10.0,3102.4500000000003,0.0,0.0,0,jenkica99w
MIN,8,0.0,3299.3,0.0,0.0,0,zierddo99w
MIN,9,6.0,3617.95,0.0,0.0,0,zierddo99w
MIN,10,0.0,3596.6499999999996,0.0,0.0,0,gilloje01w
NYL,1,5.0,3017.8500000000004,650.85,1.0,1,adubari99w
NYL,2,0.0,3029.25,526.5,1.0,1,adubari99w
NYL,3,0.0,2986.6000000000004,774.0999999999999,1.0,1,adubari99w
NYL,4,0.0,3202.4500000000003,0.0,0.0,0,adubari99w
NYL,5,0.0,3233.2,462.45000000000005,1.0,1,adubari99w
NYL,6,0.0,3267.8500000000004,162.75,1.0,1,coylepa99w
NYL,7,0.0,3320.0000000000005,0.0,0.0,0,coylepa99w
NYL,8,5.0,3326.2000000000003,304.0,1.0,1,coylepa99w
NYL,9,0.0,3492.75,563.6500000000001,1.0,1,coylepa99w
NYL,10,0.0,3435.65,0.0,0.0,0,coylepa99w
PHO,1,0.0,3086.1500000000005,200.15,1.0,1,millech99w
PHO,2,0.0,2985.3,0.0,0.0,0,coopecy01w
PHO,3,0.0,2940.8500000000004,0.0,0.0,0,coopecy01w
PHO,4,0.0,3116.65,0.0,0.0,0,shumajo01w
PHO,5,5.0,3247.85,0.0,0.0,0,grafca99wc
PHO,6,0.0,3331.5000000000005,0.0,0.0,0,grafca99wc
PHO,7,4.0,3778.25,0.0,0.0,0,westhpa99w
PHO,8,8.0,3838.25,1073.05,1.0,1,westhpa99w
PHO,9,0.0,3797.4000000000005,0.0,0.0,0,gaineco01w
PHO,10,24.0,3890.5,1258.65,1.0,1,gaineco01w
POR,1,0.0,3052.5,0.0,0.0,0,hargrli99w
POR,2,5.0,3048.4500000000003,0.0,0.0,0,hargrli99w
POR,3,0.0,3060.4,0.0,0.0,0,hargrli99w
SAC,1,0.0,3223.75,191.45,1.0,1,allenso99w
SAC,2,0.0,3213.2500000000005,511.9,1.0,1,allenso99w
SAC,3,0.0,3096.0,0.0,0.0,0,mchugma99w
SAC,4,0.0,3284.6000000000004,548.35,1.0,1,mchugma99w
SAC,5,0.0,3260.2500000000005,571.8000000000001,1.0,1,whisejo99w
SAC,6,8.0,3162.6000000000004,779.4,1.0,1,whisejo99w
SAC,7,10.0,2818.65,834.65,1.0,1,whisejo99w
SAC,8,0.0,3184.5000000000005,282.5,1.0,1,bouceje01w
SAC,9,0.0,3159.55,287.7,1.0,1,bouceje01w
SAC,10,0.0,3156.45,0.0,0.0,0,bouceje01w
SAS,1,0.0,3212.7999999999997,0.0,0.0,0,willifr99w
SAS,2,0.0,3094.4,190.0,1.0,1,harveca99w
SAS,3,0.0,3235.65,506.4,1.0,1,harveca99w
SAS,4,0.0,3204.15,0.0,0.0,0,dailesh99w
SAS,5,0.0,3133.25,0.0,0.0,0,brownde01w
SAS,6,0.0,2682.35,0.0,0.0,0,hugheda99w
SAS,7,0.0,2801.05,0.0,0.0,0,hugheda99w
SAS,8,0.0,2806.45,503.25,1.0,1,hugheda99w
SAS,9,0.0,3064.9500000000003,775.5,1.0,1,hugheda99w
SAS,10,0.0,3177.2000000000003,293.55,1.0,1,hugheda99w
SEA,1,0.0,2774.2500000000005,0.0,0.0,0,dunnli99wc
SEA,2,0.0,2932.9,0.0,0.0,0,dunnli99wc
SEA,3,0.0,3119.2000000000003,180.70000000000002,1.0,1,dunnli99wc
SEA,4,10.0,3322.35,0.0,0.0,0,donovan99w
SEA,5,8.0,3356.4,779.2,1.0,1,donovan99w
SEA,6,0.0,3370.600000000001,278.85,1.0,1,donovan99w
SEA,7,12.0,3461.4,305.25,1.0,1,donovan99w
SEA,8,17.0,3577.35,219.95,1.0,1,donovan99w
SEA,9,0.0,3410.55,281.85,1.0,1,aglerbr99w
SEA,10,7.0,3475.15,285.8,1.0,1,aglerbr99w
WAS,1,0.0,3019.7000000000003,172.35,1.0,1,darscna99w
WAS,2,0.0,2917.6000000000004,0.0,0.0,0,maherto99w
WAS,3,5.0,3043.7000000000003,485.20000000000005,1.0,1,stanlma99w
WAS,4,0.0,3284.75,0.0,0.0,0,stanlma99w
WAS,5,0.0,3256.15,281.05,1.0,1,adamsmi01w
WAS,6,5.0,3220.8,0.0,0.0,0,adubari99w
WAS,7,0.0,3557.2,189.95,1.0,1,adubari99w
WAS,8,0.0,3484.3500000000004,0.0,0.0,0,adubari99w
WAS,9,0.0,3264.7000000000003,0.0,0.0,0,kenlaje99w
WAS,10,5.0,3450.2499999999995,207.75,1.0,1,plankju99w
